Country,TIME,Value
Japan,1966-04,4.975124
Japan,1966-05,4.904905
Japan,1966-06,5.315948
Japan,1966-07,6.149194
Japan,1966-08,4.814443
Japan,1966-09,4.549951
Japan,1966-10,3.90625
Japan,1966-11,4.142012
Japan,1966-12,4.407444
Japan,1967-01,4.558681
Japan,1967-02,4.234841
Japan,1967-03,4.026845
Japan,1967-04,3.127962
Japan,1967-05,3.148855
Japan,1967-06,2.380952
Japan,1967-07,1.994302
Japan,1967-08,3.636364
Japan,1967-09,4.068117
Japan,1967-10,5.169173
Japan,1967-11,5.871212
Japan,1967-12,5.628518
Japan,1968-01,5.28757
Japan,1968-02,5.263158
Japan,1968-03,5.253456
Japan,1968-04,5.238971
Japan,1968-05,5.920444
Japan,1968-06,5.581395
Japan,1968-07,5.679702
Japan,1968-08,5.724838
Japan,1968-09,6.454545
Japan,1968-10,4.736372
Japan,1968-11,5.09839
Japan,1968-12,3.907638
Japan,1969-01,3.436123
Japan,1969-02,2.982456
Japan,1969-03,3.85289
Japan,1969-04,4.628821
Japan,1969-05,4.716157
Japan,1969-06,5.814978
Japan,1969-07,7.136564
Japan,1969-08,7.161572
Japan,1969-09,5.550811
Japan,1969-10,5.972696
Japan,1969-11,5.276596
Japan,1969-12,6.410256
Japan,1970-01,7.751277
Japan,1970-02,7.751277
Japan,1970-03,7.717095
Japan,1970-04,7.683598
Japan,1970-05,7.245587
Japan,1970-06,7.066993
Japan,1970-07,5.746265
Japan,1970-08,4.458001
Japan,1970-09,5.386267
Japan,1970-10,6.557878
Japan,1970-11,6.988589
Japan,1970-12,6.971782
Japan,1971-01,6.5
Japan,1971-02,6
Japan,1971-03,5.3
Japan,1971-04,5.8
Japan,1971-05,6.4
Japan,1971-06,6.9
Japan,1971-07,6.9
Japan,1971-08,7
Japan,1971-09,8
Japan,1971-10,6.5
Japan,1971-11,5.5
Japan,1971-12,4.8
Japan,1972-01,4.1
Japan,1972-02,4.5
Japan,1972-03,5.3
Japan,1972-04,5
Japan,1972-05,5.2
Japan,1972-06,4.8
Japan,1972-07,5
Japan,1972-08,5.9
Japan,1972-09,3.9
Japan,1972-10,4.4
Japan,1972-11,5.1
Japan,1972-12,5.7
Japan,1973-01,6.7
Japan,1973-02,7
Japan,1973-03,8.7
Japan,1973-04,9.4
Japan,1973-05,10.8
Japan,1973-06,11
Japan,1973-07,11.7
Japan,1973-08,11.9
Japan,1973-09,14.2
Japan,1973-10,13.9
Japan,1973-11,15.2
Japan,1973-12,18.3
Japan,1974-01,21.9
Japan,1974-02,24.9
Japan,1974-03,22.8
Japan,1974-04,23.7
Japan,1974-05,22
Japan,1974-06,22.3
Japan,1974-07,23.8
Japan,1974-08,23.9
Japan,1974-09,22.5
Japan,1974-10,24.8
Japan,1974-11,24.5
Japan,1974-12,21
Japan,1975-01,16.8
Japan,1975-02,13.6
Japan,1975-03,13.9
Japan,1975-04,13.4
Japan,1975-05,14
Japan,1975-06,13.4
Japan,1975-07,11.4
Japan,1975-08,10.2
Japan,1975-09,10.4
Japan,1975-10,9.7
Japan,1975-11,8.3
Japan,1975-12,7.8
Japan,1976-01,8.7
Japan,1976-02,9.3
Japan,1976-03,8.7
Japan,1976-04,9.4
Japan,1976-05,9.2
Japan,1976-06,9.6
Japan,1976-07,9.9
Japan,1976-08,9.4
Japan,1976-09,9.8
Japan,1976-10,8.7
Japan,1976-11,9.2
Japan,1976-12,10.5
Japan,1977-01,9.4
Japan,1977-02,9.3
Japan,1977-03,9.5
Japan,1977-04,8.8
Japan,1977-05,9.4
Japan,1977-06,8.6
Japan,1977-07,7.7
Japan,1977-08,8.6
Japan,1977-09,7.7
Japan,1977-10,7.6
Japan,1977-11,6.5
Japan,1977-12,5
Japan,1978-01,4.5
Japan,1978-02,4.5
Japan,1978-03,4.8
Japan,1978-04,4.2
Japan,1978-05,3.9
Japan,1978-06,3.9
Japan,1978-07,4.6
Japan,1978-08,4.6
Japan,1978-09,4.1
Japan,1978-10,3.7
Japan,1978-11,3.8
Japan,1978-12,3.9
Japan,1979-01,3.6
Japan,1979-02,2.8
Japan,1979-03,2.7
Japan,1979-04,2.9
Japan,1979-05,3.2
Japan,1979-06,3.8
Japan,1979-07,4.3
Japan,1979-08,3.1
Japan,1979-09,3.2
Japan,1979-10,4.2
Japan,1979-11,5
Japan,1979-12,5.6
Japan,1980-01,6.4
Japan,1980-02,7.7
Japan,1980-03,7.7
Japan,1980-04,8.1
Japan,1980-05,8
Japan,1980-06,8.2
Japan,1980-07,7.5
Japan,1980-08,8.4
Japan,1980-09,8.7
Japan,1980-10,7.5
Japan,1980-11,8
Japan,1980-12,6.9
Japan,1981-01,7.2
Japan,1981-02,6.3
Japan,1981-03,6.1
Japan,1981-04,5
Japan,1981-05,5
Japan,1981-06,4.8
Japan,1981-07,4.4
Japan,1981-08,4.2
Japan,1981-09,4
Japan,1981-10,4.2
Japan,1981-11,3.8
Japan,1981-12,4.3
Japan,1982-01,3.3
Japan,1982-02,3.2
Japan,1982-03,3
Japan,1982-04,3
Japan,1982-05,2.5
Japan,1982-06,2.3
Japan,1982-07,1.9
Japan,1982-08,3.2
Japan,1982-09,3.2
Japan,1982-10,3.1
Japan,1982-11,2.3
Japan,1982-12,2
Japan,1983-01,2.1
Japan,1983-02,2
Japan,1983-03,2.3
Japan,1983-04,2.1
Japan,1983-05,2.7
Japan,1983-06,2
Japan,1983-07,2.3
Japan,1983-08,1.3
Japan,1983-09,0.9
Japan,1983-10,1.5
Japan,1983-11,1.9
Japan,1983-12,1.7
Japan,1984-01,1.9
Japan,1984-02,2.9
Japan,1984-03,2.5
Japan,1984-04,2.3
Japan,1984-05,2
Japan,1984-06,1.9
Japan,1984-07,2.5
Japan,1984-08,1.9
Japan,1984-09,2.3
Japan,1984-10,2.2
Japan,1984-11,2.2
Japan,1984-12,2.6
Japan,1985-01,2.9
Japan,1985-02,1.5
Japan,1985-03,1.8
Japan,1985-04,2
Japan,1985-05,1.8
Japan,1985-06,2.5
Japan,1985-07,2.4
Japan,1985-08,2.3
Japan,1985-09,1.7
Japan,1985-10,2.3
Japan,1985-11,1.9
Japan,1985-12,1.9
Japan,1986-01,1.5
Japan,1986-02,1.8
Japan,1986-03,1.3
Japan,1986-04,1
Japan,1986-05,1.1
Japan,1986-06,0.6
Japan,1986-07,0.1
Japan,1986-08,0.1
Japan,1986-09,0.5
Japan,1986-10,-0.3
Japan,1986-11,0
Japan,1986-12,-0.3
Japan,1987-01,-1.1
Japan,1987-02,-1
Japan,1987-03,-0.5
Japan,1987-04,0.1
Japan,1987-05,0
Japan,1987-06,0.3
Japan,1987-07,0.1
Japan,1987-08,0.4
Japan,1987-09,0.8
Japan,1987-10,0.7
Japan,1987-11,0.7
Japan,1987-12,0.8
Japan,1988-01,0.9
Japan,1988-02,0.7
Japan,1988-03,0.7
Japan,1988-04,0.3
Japan,1988-05,0.2
Japan,1988-06,0.2
Japan,1988-07,0.5
Japan,1988-08,0.7
Japan,1988-09,0.6
Japan,1988-10,1.1
Japan,1988-11,1.2
Japan,1988-12,1
Japan,1989-01,1.1
Japan,1989-02,1
Japan,1989-03,1.1
Japan,1989-04,2.4
Japan,1989-05,2.9
Japan,1989-06,3
Japan,1989-07,3
Japan,1989-08,2.6
Japan,1989-09,2.6
Japan,1989-10,2.9
