School Number,School Name,LA Code,Local Authority,Address 1,Address 2,Address 3,Address 4,Postcode,lat,lon,Phone Number
6606027,Treffos School,660,Isle of Anglesey,Llansadwrn,Nr Menai Bridge,Anglesey,,LL59 5SD,53.25595,-4.18033,01248 712322
6606028,Caban Aur,660,Isle of Anglesey,Llanbedrgoch,Anglesey,,,LL76 8NX,53.29845,-4.2581,01248 450087
6616008,St Gerards School Trust,661,Gwynedd,Ffriddoedd Road,Bangor,Gwynedd,,LL57 2EL,53.22422,-4.13767,01248 351656
6616022,Aran Hall School,661,Gwynedd,Rhydymain,Dolgellau,Gwynedd,,LL40 2AR,52.78122,-3.78051,01341 450641
6616033,Teresa House,661,Gwynedd,Towyn Cottage,Golf Road,Pwllheli,Gwynedd,LL53 5PS,52.87839,-4.43329,07747 458889
6626017,St David's College,662,Conwy,Llandudno,Conwy,,,LL30 1RD,53.30953,-3.79876,01492 876702
6626019,Rydal Penrhos,662,Conwy,Pwllycrochan Avenue,Colwyn Bay,Conwy,,LL29 7BT,53.2954,-3.73348,01492 530155
6636013,Fairholme Preparatory School,663,Denbighshire,The Mount,Mount Road,St Asaph,Denbighshire,LL17 0DH,53.26842,-3.45018,01745 583505
6636027,Ruthin School,663,Denbighshire,Mold Road,Ruthin,Denbighshire,,LL15 1EE,53.11708,-3.30012,01824 702543
6636040,The Branas School,663,Denbighshire,Branas Isaf,Llandrillo,Corwen,Denbighshire,LL21 0TA,52.93047,-3.45079,01490 440545
6636041,Myddelton College,663,Denbighshire,Peakes Lane,Denbigh,Denbighshire,,LL16 3EN,53.18334,-3.41459,01745 472 201
6646004,Chestnut Hill,664,Flintshire,Kinsale Hall,Llanerch-Y-Mor,Holywell,Flintshire,CH8 9DX,53.30078,-3.23295,01745 562500
6646006,The Haven,664,Flintshire,Upper Bryn Coch Lane,Mold,Flintshire,,CH7 4AE,53.15805,-3.15445,01352 758784
6646007,Ysgol Y Rhos,664,Flintshire,Ffordd y Blaenau,,Treuddyn,Mold,CH7 4NS,53.09432,-3.13103,01352 7100100
6646008,Ysgol Tan y Gaer,664,Flintshire,Bryn Tirion Hall,Mold Road,Caergwrle,Flintshire,LL12 9HA,53.1184,-3.05001,01978 760034
6646009,Pathways Learning,664,Flintshire,Unit 12,Mold Business Park,Mold,Flintshire,CH7 1XP,53.156,-3.133,01352 961844
