Region Name,2024
England and Wales,"37,468"
England,"37,630"
Wales,"34,303"
North East,"32,960"
North West,"35,170"
Yorkshire and The Humber,"34,401"
East Midlands,"33,973"
West Midlands,"34,938"
East of England,"36,949"
London,"47,455"
South East,"39,038"
South West,"35,634"
